transaction_id,customer_id,transaction_date,amount_gbp,category
2001,1075,2023-03-06,-836.08,Utilities
2002,1441,2023-08-27,3844.68,Shopping
2003,1279,2023-10-16,510.36,Utilities
2004,1176,2023-02-07,1185.23,Transfer
2005,1384,2023-01-25,-1804.2,Groceries
2006,1150,2023-02-28,701.17,Transfer
2007,1273,2023-12-23,3393.06,Dining
2008,1325,2023-10-24,3748.93,Salary
2009,1108,2023-06-07,2891.28,Dining
2010,1139,2023-02-26,2845.26,Shopping
2011,1350,2023-02-17,1543.67,Utilities
2012,1271,2023-11-24,1768.31,Rent
2013,1347,2023-02-25,3198.42,Transfer
2014,1419,2023-03-06,-268.89,Groceries
2015,1289,2023-09-25,-379.38,Shopping
2016,1212,2023-03-10,4649.47,Dining
2017,1381,2023-08-04,-1806.17,Salary
2018,1272,2023-03-30,-1023.74,Shopping
2019,1418,2023-10-08,1992.33,Salary
2020,1066,2023-09-14,3164.84,Salary
2021,1483,2023-06-09,1765.24,Groceries
2022,1424,2023-08-22,485.45,Salary
2023,1248,2023-05-11,4845.83,Salary
2024,1156,2023-02-18,2926.97,Dining
2025,1047,2023-05-27,3819.74,Groceries
2026,1423,2023-11-12,-1718.27,Rent
2027,1454,2023-01-02,-348.56,Rent
2028,1201,2023-11-25,619.2,Salary
2029,1148,2023-05-25,-721.79,Shopping
2030,1124,2023-03-02,-1489.71,Utilities
2031,1001,2023-09-30,-424.36,Groceries
2032,1456,2023-02-18,1735.45,Transfer
2033,1247,2023-11-28,2870.22,Utilities
2034,1343,2023-05-11,3418.15,Groceries
2035,1128,2023-02-12,-1699.45,Groceries
2036,1191,2023-02-26,995.9,Dining
2037,1067,2023-02-19,-1144.52,Salary
2038,1004,2023-06-27,1018.4,Dining
2039,1442,2023-10-20,1037.83,Shopping
2040,1409,2023-02-15,1487.48,Transfer
2041,1303,2023-06-19,4249.81,Utilities
2042,1294,2023-09-28,3635.67,Utilities
2043,1143,2023-12-02,2457.05,Rent
2044,1191,2023-05-19,4197.85,Shopping
2045,1021,2023-09-04,2749.28,Transfer
2046,1227,2023-05-28,3731.98,Shopping
2047,1313,2023-08-18,1946.45,Dining
2048,1117,2023-10-07,1676.53,Dining
2049,1437,2023-05-05,3068.68,Shopping
2050,1302,2023-07-11,-1862.17,Dining
2051,1500,2023-03-21,2832.64,Rent
2052,1142,2023-04-04,4541.63,Transfer
2053,1484,2023-08-14,2997.59,Transfer
2054,1460,2023-03-06,-1742.44,Dining
2055,1401,2023-03-29,645.2,Dining
2056,1039,2023-03-29,3667.07,Transfer
2057,1393,2023-07-20,4710.26,Shopping
2058,1355,2023-08-02,591.14,Transfer
2059,1252,2023-07-23,3888.36,Shopping
2060,1333,2023-03-30,4046.67,Dining
2061,1207,2023-03-02,-1137.0,Dining
2062,1210,2023-09-28,3920.52,Shopping
2063,1115,2023-04-04,269.75,Utilities
2064,1225,2023-11-03,2152.66,Salary
2065,1134,2023-01-27,1772.73,Utilities
2066,1251,2023-08-02,2641.38,Dining
2067,1219,2023-03-15,3183.25,Groceries
2068,1407,2023-03-02,1086.17,Groceries
2069,1443,2023-07-05,4218.18,Rent
2070,1091,2023-01-31,3666.49,Utilities
2071,1354,2023-08-07,3497.95,Shopping
2072,1376,2023-01-12,1207.73,Rent
2073,1046,2023-10-29,-1736.99,Rent
2074,1038,2023-02-01,1445.79,Groceries
2075,1142,2023-06-09,4289.12,Utilities
